date,open,high,low,close,volume
2014-01-01,1.37449,1.3779,1.3744,1.37449,0
2014-01-02,1.3766,1.37747,1.36327,1.37667,0
2014-01-03,1.36662,1.3673,1.36017,1.36666,0
2014-01-06,1.35958,1.36461,1.35728,1.3596,0
2014-01-07,1.36307,1.3658,1.35988,1.3632,0
2014-01-08,1.36169,1.36361,1.3572,1.36164,0
2014-01-09,1.35726,1.36328,1.35549,1.3572,0
2014-01-10,1.36071,1.3687,1.35781,1.36071,0
2014-01-13,1.36722,1.36848,1.36393,1.36718,0
2014-01-14,1.36709,1.36986,1.36503,1.367,0
2014-01-15,1.36681,1.36735,1.35826,1.36685,0
2014-01-16,1.36012,1.36479,1.35881,1.35993,0
2014-01-17,1.36156,1.3621,1.35569,1.3618,0
2014-01-20,1.35283,1.35664,1.35093,1.35276,0
2014-01-21,1.35454,1.3564,1.35186,1.3549,0
2014-01-22,1.35575,1.35809,1.35354,1.35591,0
2014-01-23,1.35452,1.36855,1.35336,1.35422,0
2014-01-24,1.369,1.37349,1.36649,1.36891,0
2014-01-27,1.36881,1.3715,1.36554,1.36879,0
2014-01-28,1.3676,1.36894,1.36318,1.36747,0
2014-01-29,1.36543,1.3686,1.36045,1.3655,0
2014-01-30,1.36591,1.36621,1.35606,1.36586,0
2014-01-31,1.35586,1.35624,1.34811,1.35588,0
2014-02-03,1.34882,1.35196,1.34793,1.34882,0
2014-02-04,1.35228,1.354,1.34956,1.3525,0
2014-02-05,1.35166,1.3553,1.35004,1.35159,0
2014-02-06,1.35349,1.36201,1.34911,1.35351,0
2014-02-07,1.35897,1.36421,1.35558,1.35921,0
2014-02-10,1.36203,1.3652,1.36193,1.36193,0
2014-02-11,1.36459,1.3684,1.36313,1.36461,0
2014-02-12,1.3639,1.3655,1.3563,1.3639,0
2014-02-13,1.3589,1.36917,1.3587,1.35901,0
2014-02-14,1.36776,1.3716,1.36748,1.36788,0
2014-02-17,1.37026,1.37261,1.36928,1.36999,0
2014-02-18,1.37071,1.3769,1.36962,1.37045,0
2014-02-19,1.3761,1.37733,1.3742,1.3762,0
2014-02-20,1.37317,1.37641,1.36902,1.37304,0
2014-02-21,1.37206,1.37567,1.37035,1.37212,0
2014-02-24,1.374,1.3769,1.37101,1.3738,0
2014-02-25,1.37351,1.3765,1.37187,1.37361,0
2014-02-26,1.37465,1.3758,1.36658,1.37461,0
2014-02-27,1.36819,1.3696,1.3645,1.36819,0
2014-02-28,1.37075,1.38234,1.36953,1.37075,0
2014-03-03,1.37754,1.3796,1.37499,1.3777,0
2014-03-04,1.37365,1.37789,1.37223,1.3737,0
2014-03-05,1.37431,1.3746,1.37108,1.37412,0
2014-03-06,1.37325,1.385,1.37227,1.37342,0
2014-03-07,1.38646,1.39153,1.38543,1.38631,0
2014-03-10,1.38775,1.38982,1.38633,1.38787,0
2014-03-11,1.38769,1.38789,1.38353,1.38789,0
2014-03-12,1.38575,1.39054,1.38449,1.38581,0
2014-03-13,1.3904,1.39654,1.38989,1.39045,0
2014-03-14,1.38658,1.39332,1.38498,1.38654,0
2014-03-17,1.39107,1.3949,1.38821,1.3913,0
2014-03-18,1.39272,1.39381,1.38826,1.39266,0
2014-03-19,1.39297,1.3933,1.39011,1.39309,0
2014-03-20,1.38185,1.38441,1.37527,1.38192,0
2014-03-21,1.37821,1.38114,1.37683,1.37821,0
2014-03-24,1.37975,1.38235,1.3762,1.37956,0
2014-03-25,1.38372,1.3849,1.37755,1.38389,0
2014-03-26,1.38206,1.3823,1.37813,1.3819,0
2014-03-27,1.3787,1.37952,1.37418,1.37821,0
2014-03-28,1.37419,1.37713,1.37085,1.37414,0
2014-03-31,1.3755,1.3806,1.37386,1.37521,0
2014-04-01,1.37751,1.38129,1.37714,1.37751,0
2014-04-02,1.37935,1.382,1.37552,1.37948,0
2014-04-03,1.37682,1.37994,1.36996,1.37682,0
2014-04-04,1.37212,1.373,1.36763,1.37238,0
2014-04-07,1.37041,1.37489,1.36979,1.37041,0
2014-04-08,1.37431,1.3809,1.37395,1.37431,0
2014-04-09,1.37933,1.38277,1.3781,1.37933,0
2014-04-10,1.38529,1.38996,1.38377,1.3855,0
2014-04-11,1.38891,1.39061,1.38656,1.38864,0
2014-04-14,1.38473,1.38629,1.381,1.38462,0
2014-04-15,1.38181,1.38324,1.37927,1.38171,0
2014-04-16,1.38104,1.3852,1.38048,1.3812,0
2014-04-17,1.3824,1.38656,1.3824,1.38271,0
2014-04-18,1.38122,1.3823,1.38095,1.38122,0
2014-04-21,1.38152,1.38305,1.37889,1.38152,0
2014-04-22,1.37927,1.38247,1.37867,1.3795,0
2014-04-23,1.38074,1.38554,1.38011,1.38101,0
2014-04-24,1.38181,1.3842,1.37922,1.38192,0
2014-04-25,1.38305,1.38491,1.38288,1.3832,0
2014-04-28,1.3841,1.388,1.38171,1.38406,0
2014-04-29,1.38529,1.3879,1.38074,1.38529,0
2014-04-30,1.38139,1.3877,1.37866,1.38137,0
2014-05-01,1.38687,1.3891,1.3864,1.38692,0
2014-05-02,1.3871,1.3871,1.38135,1.3871,0
2014-05-05,1.38727,1.3888,1.3866,1.38727,0
2014-05-06,1.38769,1.39517,1.38735,1.3876,0
2014-05-07,1.39299,1.39379,1.39126,1.39307,0
2014-05-08,1.39121,1.39911,1.38518,1.39117,0
2014-05-09,1.38435,1.3845,1.37554,1.38443,0
2014-05-12,1.37616,1.3776,1.37502,1.37606,0
2014-05-13,1.37565,1.3774,1.36999,1.37567,0
2014-05-14,1.3709,1.37298,1.36992,1.37095,0
2014-05-15,1.37189,1.37305,1.36506,1.37201,0
2014-05-16,1.3717,1.3728,1.36861,1.37165,0
2014-05-19,1.37039,1.37343,1.37013,1.37033,0
2014-05-20,1.37133,1.3715,1.36815,1.37138,0
2014-05-21,1.37046,1.3722,1.36544,1.37041,0
2014-05-22,1.36831,1.36873,1.36478,1.36818,0
2014-05-23,1.3655,1.3655,1.36162,1.36545,0
2014-05-26,1.36281,1.3656,1.36167,1.36288,0
2014-05-27,1.3653,1.36692,1.36143,1.36513,0
2014-05-28,1.36357,1.3639,1.35919,1.3637,0
2014-05-29,1.3594,1.3626,1.35888,1.35934,0
2014-05-30,1.36032,1.36509,1.35993,1.36045,0
2014-06-02,1.36284,1.36373,1.35947,1.36281,0
2014-06-03,1.35977,1.3646,1.35946,1.3599,0
2014-06-04,1.36219,1.36375,1.36012,1.3621,0
2014-06-05,1.36034,1.36379,1.35068,1.36041,0
2014-06-06,1.36608,1.36758,1.36218,1.36619,0
2014-06-09,1.36454,1.3669,1.35833,1.36429,0
2014-06-10,1.35927,1.3603,1.35379,1.35927,0
2014-06-11,1.35402,1.3559,1.3523,1.3541,0
2014-06-12,1.35366,1.35621,1.3513,1.35371,0
2014-06-13,1.35507,1.3581,1.35236,1.35545,0
2014-06-16,1.35369,1.35811,1.35136,1.3538,0
2014-06-17,1.3577,1.3587,1.35386,1.35772,0
2014-06-18,1.35498,1.35827,1.3542,1.35479,0
2014-06-19,1.3591,1.3645,1.35855,1.35906,0
