date,open,high,low,close,volume
2007-03-30,1.33700,1.33760,1.33500,1.33530,6936
2007-04-02,1.33710,1.33802,1.33312,1.33647,52350
2007-04-03,1.33640,1.33802,1.33191,1.33293,53203
2007-04-04,1.33294,1.33810,1.33179,1.33660,55096
2007-04-05,1.33665,1.34410,1.33525,1.34290,49933
2007-04-06,1.34285,1.34320,1.33640,1.33780,27186
2007-04-09,1.33740,1.33798,1.33400,1.33530,27921
2007-04-10,1.33530,1.34560,1.33481,1.34380,57224
2007-04-11,1.34385,1.34410,1.34065,1.34310,53094
2007-04-12,1.34310,1.35040,1.34256,1.34810,55142
2007-04-13,1.34798,1.35525,1.34790,1.35255,47677
2007-04-16,1.35540,1.35770,1.35221,1.35340,51004
2007-04-17,1.35330,1.35940,1.35224,1.35650,63125
2007-04-18,1.35660,1.36160,1.35555,1.36070,64992
2007-04-19,1.36070,1.36200,1.35605,1.36110,60901
2007-04-20,1.36110,1.36370,1.35860,1.35880,58223
2007-04-23,1.35975,1.36070,1.35400,1.35760,43332
2007-04-24,1.35740,1.36430,1.35480,1.36380,60275
2007-04-25,1.36380,1.36650,1.36220,1.36360,56124
2007-04-26,1.36360,1.36540,1.35840,1.35990,70161
2007-04-27,1.35990,1.36820,1.35850,1.36520,59972
2007-04-30,1.36305,1.36777,1.35884,1.36462,18630
2007-05-01,1.36461,1.36711,1.35897,1.36023,15671
2007-05-02,1.36023,1.36097,1.35598,1.35903,15667
2007-05-03,1.35901,1.36193,1.35462,1.35484,15663
2007-05-04,1.35485,1.36088,1.35344,1.35893,15687
2007-05-07,1.36015,1.36255,1.35883,1.35994,15632
2007-05-08,1.35997,1.36202,1.35155,1.35422,15715
2007-05-09,1.35427,1.35641,1.35187,1.35262,15679
2007-05-10,1.35263,1.35624,1.34656,1.34835,15764
2007-05-11,1.34835,1.35305,1.34628,1.35222,15718
2007-05-14,1.35343,1.35570,1.35235,1.35432,15643
2007-05-15,1.35430,1.36071,1.35264,1.35887,15702
2007-05-16,1.35890,1.36081,1.35035,1.35141,15730
2007-05-17,1.35140,1.35421,1.34773,1.34923,15692
2007-05-18,1.34925,1.35205,1.34648,1.35053,15695
2007-05-21,1.35123,1.35288,1.34359,1.34675,11304
2007-05-22,1.34672,1.34744,1.34376,1.34476,15529
2007-05-23,1.34475,1.35004,1.34149,1.34585,15568
2007-05-24,1.34585,1.34619,1.34155,1.34275,15569
2007-05-25,1.34275,1.34714,1.34114,1.34380,15555
2007-05-28,1.34465,1.34579,1.34399,1.34482,15554
2007-05-29,1.34515,1.35183,1.34192,1.34474,15595
2007-05-30,1.34476,1.34563,1.34079,1.34268,15540
2007-05-31,1.34277,1.34710,1.34219,1.34518,15118
2007-06-01,1.34515,1.34602,1.33915,1.34439,15562
2007-06-04,1.34410,1.34978,1.34317,1.34882,19696
2007-06-05,1.34885,1.35515,1.34847,1.35222,15417
2007-06-06,1.35222,1.35371,1.34844,1.35023,15472
2007-06-07,1.35027,1.35113,1.34209,1.34312,15414
2007-06-08,1.34311,1.34344,1.33225,1.33708,15465
2007-06-11,1.33671,1.33711,1.33325,1.33567,10977
2007-06-12,1.33564,1.33683,1.32997,1.33007,15213
2007-06-13,1.33003,1.33144,1.32621,1.33092,15259
2007-06-14,1.33105,1.33221,1.32789,1.33107,15198
2007-06-15,1.33106,1.33877,1.33040,1.33867,15172
2007-06-18,1.33765,1.34171,1.33737,1.34125,19360
2007-06-19,1.34109,1.34343,1.33840,1.34253,15009
2007-06-20,1.34262,1.34360,1.33946,1.34021,15008
2007-06-21,1.34028,1.34066,1.33717,1.33881,15055
2007-06-22,1.33884,1.34683,1.33772,1.34676,15023
2007-06-25,1.34648,1.34719,1.34384,1.34613,10400
2007-06-26,1.34613,1.34764,1.34310,1.34527,14753
2007-06-27,1.34522,1.34578,1.34167,1.34514,14780
2007-06-28,1.34515,1.34788,1.34233,1.34478,14823
2007-06-29,1.34474,1.35404,1.34284,1.35397,14856
2007-07-02,1.35358,1.36374,1.35258,1.36207,18823
2007-07-03,1.36203,1.36348,1.35833,1.36073,14228
2007-07-04,1.36082,1.36299,1.36028,1.36115,14090
2007-07-05,1.36115,1.36574,1.35784,1.35968,14227
2007-07-06,1.35974,1.36396,1.35678,1.36253,14255
2007-07-09,1.36319,1.36372,1.36086,1.36253,8926
2007-07-10,1.36254,1.37471,1.35935,1.37462,14053
2007-07-11,1.37463,1.37822,1.37299,1.37443,14141
2007-07-12,1.37445,1.37971,1.37394,1.37885,13949
2007-07-13,1.37883,1.38103,1.37621,1.37811,13859
2007-07-16,1.37837,1.38019,1.37603,1.37715,17063
2007-07-17,1.37751,1.37974,1.37580,1.37805,12551
2007-07-18,1.37805,1.38310,1.37565,1.38013,13120
2007-07-19,1.38016,1.38284,1.37852,1.38024,12897
2007-07-20,1.38028,1.38418,1.37777,1.38251,18841
2007-07-23,1.38334,1.38452,1.37912,1.38046,115578
2007-07-24,1.38036,1.38515,1.37949,1.38198,114363
2007-07-25,1.38202,1.38313,1.36944,1.37196,114361
2007-07-26,1.37193,1.37714,1.36888,1.37412,114364
2007-07-27,1.37445,1.37539,1.36239,1.36306,114364
2007-07-30,1.36206,1.37075,1.36058,1.36940,114364
2007-07-31,1.36947,1.37274,1.36752,1.36818,110602
2007-08-01,1.36803,1.37099,1.36363,1.36656,114363
2007-08-02,1.36660,1.37050,1.36478,1.37001,114364
2007-08-03,1.36998,1.38178,1.36811,1.37698,114363
2007-08-06,1.37860,1.38387,1.37764,1.37922,108510
2007-08-07,1.37920,1.38148,1.37314,1.37353,114490
2007-08-08,1.37351,1.38259,1.37185,1.37975,114490
2007-08-09,1.37960,1.38167,1.36533,1.36747,114490
2007-08-10,1.36782,1.37049,1.36406,1.36907,114417
2007-08-13,1.36887,1.37091,1.36001,1.36107,114489
2007-08-14,1.36078,1.36250,1.35269,1.35325,114491
2007-08-15,1.35310,1.35390,1.34368,1.34405,114488
2007-08-16,1.34400,1.34464,1.33594,1.34237,114487
2007-08-17,1.34244,1.35460,1.33691,1.34721,114488
2007-08-20,1.34760,1.35076,1.34573,1.34731,114490
2007-08-21,1.34726,1.35203,1.34543,1.34645,114337
2007-08-22,1.34641,1.35503,1.34459,1.35403,114490
2007-08-23,1.35421,1.35879,1.35324,1.35645,114489
2007-08-24,1.35627,1.36828,1.35492,1.36725,114491
2007-08-27,1.36745,1.36852,1.36303,1.36436,120324
2007-08-28,1.36432,1.36799,1.35973,1.36016,114596
2007-08-29,1.36015,1.36800,1.35570,1.36740,114596
2007-08-30,1.36727,1.36802,1.35883,1.36225,108752
2007-08-31,1.36237,1.37191,1.36158,1.36265,112871
2007-09-03,1.36276,1.36541,1.36017,1.36208,120432
2007-09-04,1.36212,1.36260,1.35480,1.36036,114596
2007-09-05,1.36025,1.36712,1.35660,1.36438,114347
2007-09-06,1.36434,1.37098,1.36308,1.36892,108682
2007-09-07,1.36890,1.37978,1.36601,1.37657,114596
2007-09-10,1.37681,1.38143,1.37644,1.37988,120440
2007-09-11,1.38003,1.38482,1.37756,1.38366,114596
2007-09-12,1.38370,1.39141,1.38207,1.39006,114596
2007-09-13,1.39015,1.39265,1.38600,1.38833,114596
2007-09-14,1.38823,1.38947,1.38414,1.38728,114596
2007-09-17,1.38680,1.38899,1.38474,1.38663,108752
2007-09-18,1.38662,1.39889,1.38271,1.39829,114596
2007-09-19,1.39810,1.39867,1.39323,1.39571,114427
2007-09-20,1.39550,1.40993,1.39525,1.40643,114596
2007-09-21,1.40629,1.41195,1.40394,1.40885,114596
2007-09-24,1.40901,1.41293,1.40653,1.40844,119578
2007-09-25,1.40843,1.41538,1.40567,1.41340,114596
2007-09-26,1.41346,1.41628,1.41084,1.41257,114596
2007-09-27,1.41255,1.41892,1.41195,1.41489,114260
2007-09-28,1.41504,1.42772,1.41415,1.42656,114370
2007-10-01,1.42723,1.42808,1.42075,1.42283,114596
2007-10-02,1.42289,1.42389,1.41353,1.41526,114596
2007-10-03,1.41566,1.42012,1.40797,1.40880,114596
2007-10-04,1.40882,1.41488,1.40641,1.41366,114596
2007-10-05,1.41355,1.41569,1.40313,1.41336,114451
2007-10-08,1.41340,1.41526,1.40321,1.40465,108752
2007-10-09,1.40454,1.41147,1.40093,1.41029,114596
2007-10-10,1.41061,1.41715,1.40914,1.41442,114585
2007-10-11,1.41427,1.42402,1.41318,1.41950,114596
2007-10-12,1.41945,1.42125,1.41522,1.41763,114596
2007-10-15,1.41745,1.42429,1.41559,1.42026,120440
2007-10-16,1.42018,1.42265,1.41397,1.41706,114596
2007-10-17,1.41703,1.42301,1.41562,1.42042,114536
2007-10-18,1.42045,1.43097,1.41921,1.42920,114596
2007-10-19,1.42912,1.43179,1.42426,1.42985,114470
2007-10-22,1.43037,1.43501,1.41231,1.41798,114596
2007-10-23,1.41790,1.42782,1.41671,1.42613,114596
2007-10-24,1.42611,1.42697,1.41873,1.42648,114528
2007-10-25,1.42644,1.43443,1.42436,1.43218,114596
2007-10-26,1.43214,1.43953,1.43136,1.43908,114365
2007-10-29,1.44146,1.44378,1.43738,1.44244,108752
2007-10-30,1.44233,1.44410,1.43717,1.44323,114596
2007-10-31,1.44304,1.45035,1.44172,1.44846,112871
2007-11-01,1.44860,1.44884,1.43995,1.44227,114551
2007-11-02,1.44226,1.45273,1.44117,1.45033,114596
2007-11-05,1.45132,1.45234,1.44406,1.44677,118732
2007-11-06,1.44673,1.45706,1.44627,1.45532,114596
2007-11-07,1.45533,1.47294,1.45495,1.46346,114596
2007-11-08,1.46331,1.47027,1.46128,1.46735,114479
2007-11-09,1.46743,1.47519,1.46286,1.46725,114596
2007-11-12,1.46701,1.46758,1.45237,1.45296,114596
2007-11-13,1.45301,1.46325,1.45168,1.46001,114319
2007-11-14,1.45991,1.47245,1.45949,1.46473,114596
2007-11-15,1.46491,1.47038,1.46009,1.46108,114596
2007-11-16,1.46085,1.46721,1.45786,1.46584,114596
2007-11-19,1.46689,1.46884,1.46170,1.46625,110460
2007-11-20,1.46644,1.48517,1.46303,1.48373,114596
2007-11-21,1.48382,1.48689,1.47707,1.48563,114596
2007-11-22,1.48560,1.48730,1.48185,1.48475,114596
2007-11-23,1.48474,1.49646,1.47816,1.48358,114596
2007-11-26,1.48193,1.48869,1.48011,1.48696,118730
2007-11-27,1.48691,1.49078,1.48061,1.48274,114538
2007-11-28,1.48266,1.48579,1.47078,1.48389,114597
2007-11-29,1.48391,1.48442,1.47188,1.47412,114597
2007-11-30,1.47426,1.47849,1.46231,1.46313,114594
2007-12-03,1.46360,1.47077,1.46180,1.46657,114596
2007-12-04,1.46660,1.47688,1.46315,1.47560,114594
2007-12-05,1.47566,1.47701,1.45908,1.46085,114594
2007-12-06,1.46101,1.46518,1.45234,1.46335,114503
2007-12-07,1.46353,1.46725,1.45946,1.46534,114594
2007-12-10,1.46539,1.47356,1.46361,1.47108,110451
2007-12-11,1.47101,1.47506,1.46378,1.46533,114740
2007-12-12,1.46542,1.47480,1.46469,1.46990,114740
2007-12-13,1.46986,1.47379,1.45742,1.46299,114740
2007-12-14,1.46297,1.46578,1.44094,1.44282,114740
2007-12-17,1.43892,1.44521,1.43273,1.43981,118876
2007-12-18,1.43989,1.44357,1.43639,1.44109,114740
2007-12-19,1.44107,1.44235,1.43229,1.43817,114740
2007-12-20,1.43819,1.43899,1.43073,1.43280,114740
2007-12-21,1.43284,1.44101,1.43133,1.43772,114740
2007-12-24,1.43738,1.44129,1.43643,1.43920,114740
2007-12-26,1.43972,1.45058,1.43866,1.44856,114740
2007-12-27,1.44863,1.46411,1.44643,1.46245,114740
2007-12-28,1.46225,1.47273,1.45873,1.47210,114740
2007-12-31,1.47133,1.47491,1.45651,1.45882,108879
2008-01-02,1.45910,1.47490,1.45835,1.47106,114740
2008-01-03,1.47106,1.47807,1.46842,1.47489,114740
2008-01-04,1.47482,1.48241,1.46910,1.47397,114740
2008-01-07,1.47452,1.47547,1.46557,1.46928,118876
2008-01-08,1.46925,1.47428,1.46754,1.47039,114740
2008-01-09,1.47049,1.47427,1.46357,1.46558,114740
2008-01-10,1.46571,1.48133,1.46387,1.48020,114740
2008-01-11,1.48011,1.48190,1.47585,1.47717,114638
2008-01-14,1.47797,1.49146,1.47779,1.48640,114740
2008-01-15,1.48665,1.49219,1.47959,1.48015,114740
2008-01-16,1.47995,1.48583,1.45923,1.46497,114666
2008-01-17,1.46501,1.47141,1.45863,1.46383,114609
2008-01-18,1.46385,1.46941,1.45982,1.46168,114740
2008-01-21,1.46029,1.46042,1.44200,1.44525,110604
2008-01-22,1.44547,1.46417,1.43621,1.46274,114740
2008-01-23,1.46273,1.46840,1.45072,1.46285,114740
2008-01-24,1.46279,1.47779,1.45874,1.47525,114740
2008-01-25,1.47527,1.47757,1.46567,1.46807,114740
2008-01-28,1.46779,1.47977,1.46588,1.47781,118876
2008-01-29,1.47795,1.47968,1.47346,1.47744,114740
2008-01-30,1.47732,1.49073,1.47508,1.48584,114740
2008-01-31,1.48593,1.49137,1.47994,1.48573,110981
2008-02-01,1.48576,1.49468,1.47839,1.47995,114740
2008-02-04,1.48036,1.48482,1.47889,1.48272,114740
2008-02-05,1.48267,1.48349,1.46185,1.46448,114740
2008-02-06,1.46479,1.46699,1.45877,1.46286,114619
2008-02-07,1.46294,1.46513,1.44366,1.44817,114740
